AREA,SUB AREA,AGE GROUP,SEASON,WEEK,PERCENT P&I,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,TOTAL DEATHS,PERCENT COMPLETE
State,Alabama,All,2019-20,40,5,0,48,955,98.3%
State,Alabama,All,2019-20,41,3.9,0,37,941,96.9%
State,Alabama,All,2019-20,42,4.5,0,46,"1,012",> 100%
State,Alabama,All,2019-20,43,4.4,2,42,"1,000",> 100%
State,Alabama,All,2019-20,44,5.7,2,53,962,99%
State,Alabama,All,2019-20,45,4.9,0,52,"1,054",> 100%
State,Alabama,All,2019-20,46,6.1,0,67,"1,099",> 100%
State,Alabama,All,2019-20,47,4.3,3,43,"1,061",> 100%
State,Alabama,All,2019-20,48,7.6,2,78,"1,049",> 100%
State,Alabama,All,2019-20,49,5.3,2,55,"1,072",> 100%
State,Alabama,All,2019-20,50,5.6,4,59,"1,117",> 100%
State,Alabama,All,2019-20,51,5.5,2,59,"1,117",> 100%
State,Alabama,All,2019-20,52,5.6,2,57,"1,059",> 100%
State,Alabama,All,2019-20,1,6.6,5,67,"1,093",> 100%
State,Alabama,All,2019-20,2,8,9,83,"1,148",> 100%
State,Alabama,All,2019-20,3,6.5,7,63,"1,073",> 100%
State,Alabama,All,2019-20,4,7,7,69,"1,082",> 100%
State,Alabama,All,2019-20,5,6.7,16,55,"1,052",> 100%
State,Alabama,All,2019-20,6,6.8,12,64,"1,119",> 100%
State,Alabama,All,2019-20,7,7.9,7,80,"1,097",> 100%
State,Alabama,All,2019-20,8,7.2,5,75,"1,109",> 100%
State,Alabama,All,2019-20,9,7.1,14,70,"1,175",> 100%
State,Alabama,All,2019-20,10,7,13,63,"1,092",> 100%
State,Alabama,All,2019-20,11,6.1,7,59,"1,089",> 100%
State,Alabama,All,2019-20,12,7.9,7,78,"1,077",> 100%
State,Alabama,All,2019-20,13,7.3,8,71,"1,078",> 100%
State,Alabama,All,2019-20,14,6.2,4,68,"1,158",> 100%
State,Alabama,All,2019-20,15,8,3,87,"1,127",> 100%
State,Alabama,All,2019-20,16,8.6,0,98,"1,136",> 100%
State,Alabama,All,2019-20,17,7.2,1,80,"1,131",> 100%
State,Alabama,All,2019-20,18,8,2,87,"1,119",> 100%
State,Alabama,All,2019-20,19,8.4,0,97,"1,160",> 100%
State,Alabama,All,2019-20,20,8.5,3,90,"1,100",> 100%
State,Alabama,All,2019-20,21,7.2,0,77,"1,076",> 100%
State,Alabama,All,2019-20,22,9.7,0,94,974,> 100%
State,Alabama,All,2019-20,23,8.1,1,76,956,98.4%
State,Alabama,All,2019-20,24,6.4,0,47,738,76%
State,Alabama,All,2019-20,25,9.1,0,25,274,28.2%
State,Alabama,All,2019-20,26,,Insufficient Data,Insufficient Data,Insufficient Data,< 20%
State,Alaska,All,2019-20,40,6.4,0,6,94,> 100%
State,Alaska,All,2019-20,41,7.4,0,7,94,> 100%
State,Alaska,All,2019-20,42,3.2,0,3,95,> 100%
State,Alaska,All,2019-20,43,5.7,0,4,70,86.1%
State,Alaska,All,2019-20,44,5.8,0,5,86,> 100%
State,Alaska,All,2019-20,45,7.1,0,7,98,> 100%
State,Alaska,All,2019-20,46,1.1,0,1,91,> 100%
State,Alaska,All,2019-20,47,4.3,0,4,94,> 100%
State,Alaska,All,2019-20,48,4.7,0,5,107,> 100%
State,Alaska,All,2019-20,49,6.9,1,6,102,> 100%
State,Alaska,All,2019-20,50,3.1,0,3,97,> 100%
State,Alaska,All,2019-20,51,3.6,1,2,84,> 100%
State,Alaska,All,2019-20,52,12.3,1,12,106,> 100%
State,Alaska,All,2019-20,1,5.5,1,4,91,> 100%
State,Alaska,All,2019-20,2,3.7,0,4,108,> 100%
State,Alaska,All,2019-20,3,4.9,0,5,103,> 100%
State,Alaska,All,2019-20,4,2,0,2,102,> 100%
State,Alaska,All,2019-20,5,4.4,1,3,90,> 100%
State,Alaska,All,2019-20,6,4.3,1,3,94,> 100%
State,Alaska,All,2019-20,7,0,0,0,92,> 100%
State,Alaska,All,2019-20,8,6.7,2,4,89,> 100%
State,Alaska,All,2019-20,9,7.7,1,6,91,> 100%
State,Alaska,All,2019-20,10,2.4,0,2,82,> 100%
State,Alaska,All,2019-20,11,7.4,0,7,94,> 100%
State,Alaska,All,2019-20,12,13.6,1,8,66,81.2%
State,Alaska,All,2019-20,13,12.2,1,10,90,> 100%
State,Alaska,All,2019-20,14,8.1,0,8,99,> 100%
State,Alaska,All,2019-20,15,4.9,0,4,81,99.6%
