AREA,SUB AREA,AGE GROUP,SEASON,WEEK,PERCENT P&I,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,TOTAL DEATHS,PERCENT COMPLETE
State,Alabama,All,2019-20,40,5,0,48,955,98.30%
State,Alabama,All,2019-20,41,3.8,0,36,940,96.80%
State,Alabama,All,2019-20,42,4.5,0,45,"1,011",> 100%
State,Alabama,All,2019-20,43,4.4,2,42,"1,000",> 100%
State,Alabama,All,2019-20,44,5.7,2,53,962,99%
State,Alabama,All,2019-20,45,4.9,0,52,"1,054",> 100%
State,Alabama,All,2019-20,46,6.1,0,67,"1,099",> 100%
State,Alabama,All,2019-20,47,4.3,3,43,"1,060",> 100%
State,Alabama,All,2019-20,48,7.6,2,78,"1,049",> 100%
State,Alabama,All,2019-20,49,5.3,2,55,"1,072",> 100%
State,Alabama,All,2019-20,50,5.6,4,59,"1,116",> 100%
State,Alabama,All,2019-20,51,5.5,2,59,"1,114",> 100%
State,Alabama,All,2019-20,52,5.6,2,57,"1,059",> 100%
State,Alabama,All,2019-20,1,6.6,5,67,"1,088",> 100%
State,Alabama,All,2019-20,2,8.1,9,83,"1,137",> 100%
State,Alabama,All,2019-20,3,6.6,7,63,"1,066",> 100%
State,Alabama,All,2019-20,4,6.9,7,67,"1,070",> 100%
State,Alabama,All,2019-20,5,6.6,15,54,"1,046",> 100%
State,Alabama,All,2019-20,6,6.8,11,64,"1,102",> 100%
State,Alabama,All,2019-20,7,7.8,7,78,"1,083",> 100%
State,Alabama,All,2019-20,8,7.2,4,74,"1,079",> 100%
State,Alabama,All,2019-20,9,7.1,14,68,"1,150",> 100%
State,Alabama,All,2019-20,10,6.7,12,58,"1,040",> 100%
State,Alabama,All,2019-20,11,5.9,6,54,"1,022",> 100%
State,Alabama,All,2019-20,12,7.7,6,71,995,> 100%
State,Alabama,All,2019-20,13,7.9,8,67,952,98%
State,Alabama,All,2019-20,14,6.5,4,59,970,99.80%
State,Alabama,All,2019-20,15,7.6,3,56,779,80.20%
State,Alabama,All,2019-20,16,8.6,0,29,337,34.70%
State,Alaska,All,2019-20,40,6.4,0,6,94,> 100%
State,Alaska,All,2019-20,41,7.4,0,7,94,> 100%
State,Alaska,All,2019-20,42,3.2,0,3,95,> 100%
State,Alaska,All,2019-20,43,5.7,0,4,70,86.10%
State,Alaska,All,2019-20,44,5.8,0,5,86,> 100%
State,Alaska,All,2019-20,45,7.1,0,7,98,> 100%
State,Alaska,All,2019-20,46,1.1,0,1,91,> 100%
State,Alaska,All,2019-20,47,4.3,0,4,94,> 100%
State,Alaska,All,2019-20,48,4.7,0,5,107,> 100%
State,Alaska,All,2019-20,49,6.9,1,6,102,> 100%
State,Alaska,All,2019-20,50,3.1,0,3,97,> 100%
State,Alaska,All,2019-20,51,3.6,1,2,84,> 100%
State,Alaska,All,2019-20,52,12.3,1,12,106,> 100%
State,Alaska,All,2019-20,1,5.6,1,4,90,> 100%
State,Alaska,All,2019-20,2,3.7,0,4,107,> 100%
State,Alaska,All,2019-20,3,4,0,4,99,> 100%
State,Alaska,All,2019-20,4,2,0,2,100,> 100%
State,Alaska,All,2019-20,5,4.5,1,3,88,> 100%
State,Alaska,All,2019-20,6,4.3,1,3,92,> 100%
State,Alaska,All,2019-20,7,0,0,0,89,> 100%
State,Alaska,All,2019-20,8,4.7,0,4,86,> 100%
State,Alaska,All,2019-20,9,7.3,1,5,82,> 100%
State,Alaska,All,2019-20,10,2.7,0,2,75,92.20%
State,Alaska,All,2019-20,11,8.4,0,7,83,> 100%
State,Alaska,All,2019-20,12,13,1,6,54,66.40%
State,Alaska,All,2019-20,13,11.8,0,8,68,83.60%
State,Alaska,All,2019-20,14,8.8,0,6,68,83.60%
State,Alaska,All,2019-20,15,0,0,0,30,36.90%
State,Alaska,All,2019-20,16,,Insufficient Data,Insufficient Data,Insufficient Data,< 20%
State,Arizona,All,2019-20,40,4.7,0,52,"1,110",> 100%
State,Arizona,All,2019-20,41,4.6,2,49,"1,114",> 100%
State,Arizona,All,2019-20,42,4.6,2,51,"1,140",> 100%
State,Arizona,All,2019-20,43,5.3,1,53,"1,012",97.70%
State,Arizona,All,2019-20,44,5.6,1,63,"1,133",> 100%
State,Arizona,All,2019-20,45,4.9,0,61,"1,245",> 100%
State,Arizona,All,2019-20,46,6.2,0,73,"1,176",> 100%
State,Arizona,All,2019-20,47,5.4,1,63,"1,191",> 100%
State,Arizona,All,2019-20,48,5.1,2,55,"1,113",> 100%
State,Arizona,All,2019-20,49,5,5,55,"1,192",> 100%
State,Arizona,All,2019-20,50,7.4,3,83,"1,163",> 100%
State,Arizona,All,2019-20,51,5.7,3,62,"1,150",> 100%
State,Arizona,All,2019-20,52,5,0,60,"1,203",> 100%
State,Arizona,All,2019-20,1,6.8,4,82,"1,272",> 100%
State,Arizona,All,2019-20,2,7,8,86,"1,349",> 100%
State,Arizona,All,2019-20,3,5.5,7,62,"1,256",> 100%
State,Arizona,All,2019-20,4,8.2,11,90,"1,234",> 100%
State,Arizona,All,2019-20,5,6.7,12,71,"1,240",> 100%
State,Arizona,All,2019-20,6,7,9,77,"1,221",> 100%
State,Arizona,All,2019-20,7,7.9,14,86,"1,267",> 100%
State,Arizona,All,2019-20,8,6.8,10,76,"1,274",> 100%
State,Arizona,All,2019-20,9,6.7,13,74,"1,303",> 100%
State,Arizona,All,2019-20,10,6.1,13,68,"1,327",> 100%
State,Arizona,All,2019-20,11,6.8,10,76,"1,263",> 100%
State,Arizona,All,2019-20,12,8.2,7,94,"1,225",> 100%
State,Arizona,All,2019-20,13,9.4,3,113,"1,236",> 100%
State,Arizona,All,2019-20,14,9.4,4,114,"1,254",> 100%
State,Arizona,All,2019-20,15,10.1,2,117,"1,174",> 100%
State,Arizona,All,2019-20,16,7.2,0,38,528,51%
State,Arkansas,All,2019-20,40,4.5,0,26,579,96.60%
State,Arkansas,All,2019-20,41,4.8,0,29,603,> 100%
State,Arkansas,All,2019-20,42,5.6,0,35,624,> 100%
State,Arkansas,All,2019-20,43,6.4,2,39,640,> 100%
State,Arkansas,All,2019-20,44,4.8,0,29,607,> 100%
State,Arkansas,All,2019-20,45,6.9,0,43,621,> 100%
State,Arkansas,All,2019-20,46,6.4,1,42,676,> 100%
State,Arkansas,All,2019-20,47,4.9,0,32,647,> 100%
State,Arkansas,All,2019-20,48,5.1,0,34,666,> 100%
State,Arkansas,All,2019-20,49,6.6,0,41,623,> 100%
State,Arkansas,All,2019-20,50,5.2,2,33,669,> 100%
State,Arkansas,All,2019-20,51,6.9,2,41,623,> 100%
State,Arkansas,All,2019-20,52,7,4,46,717,> 100%
State,Arkansas,All,2019-20,1,9,6,57,697,> 100%
State,Arkansas,All,2019-20,2,8.4,4,54,694,> 100%
State,Arkansas,All,2019-20,3,7.2,6,41,657,> 100%
State,Arkansas,All,2019-20,4,7.1,4,40,619,> 100%
State,Arkansas,All,2019-20,5,9.6,8,58,686,> 100%
State,Arkansas,All,2019-20,6,8.4,9,48,682,> 100%
