Week,Ending,Age,LowerB,Expected,UpperB,NoDeaths_EP,Excess
49,06.12.2020,65+     ,1096,1184,1273,           .,           .
50,13.12.2020,65+     ,1105,1194,1283,           .,           .
51,20.12.2020,65+     ,1114,1203,1292,           .,           .
52,27.12.2020,65+     ,1122,1212,1302,           .,           .
53,03.01.2021,65+     ,1131,1221,1311,           .,           .
#,,,,,,,
# Week: Calendar week according to ISO 8601,,,,,,,
# Ending: Last day of the week (Sunday),,,,,,,
# Age: Age in completed years,,,,,,,
# NoDeaths_EP: Number of deaths in Switzerland of persons residing in Switzerland with extrapolation for the last 40 days,,,,,,,
# Expected: Number of deaths expected this week compared to the same week in previous years,,,,,,,
# LowerB: Lower limit of the expected range at 99% of the expected value,,,,,,,
# UpperB: Upper limit of the expected range at 99% of the expected value,,,,,,,
# Excess: Weeks when the number of deaths exceeds the upper limit of the expected range,,,,,,,
#,,,,,,,
