Date_evenement,Zone,Communes_a_envoi_dematerialise_Deces2020,Total_deces_2020,Communes_a_envoi_dematerialise_Deces2019,Total_deces_2019,Communes_a_envoi_dematerialise_Deces2018,Total_deces_2018
01/03/2020,France,1624,1774,1708,1872,1928,2136
02/03/2020,France,3262,3552,3467,3782,3933,4327
03/03/2020,France,4889,5311,5035,5530,5881,6455
04/03/2020,France,6565,7112,6747,7410,7768,8545
05/03/2020,France,8189,8879,8455,9278,9770,10746
06/03/2020,France,9886,10716,10178,11148,11732,12904
07/03/2020,France,11422,12397,11857,13007,13616,14959
08/03/2020,France,12991,14101,13513,14808,15543,17066
09/03/2020,France,14659,15911,15131,16581,17430,19115
10/03/2020,France,16312,17731,16653,18248,19325,21201
11/03/2020,France,18057,19619,18276,20014,21083,23143
12/03/2020,France,19697,21409,19863,21720,22938,25190
13/03/2020,France,21336,23177,21392,23411,24733,27170
14/03/2020,France,22963,24947,22950,25129,26483,29097
15/03/2020,France,24657,26798,24540,26875,28214,30995
16/03/2020,France,26479,28788,26100,28595,29961,32902
17/03/2020,France,28362,30825,27583,30230,31631,34742
18/03/2020,France,30197,32826,29195,31987,33236,36533
19/03/2020,France,32140,34928,30727,33671,34896,38356
20/03/2020,France,34030,36964,32230,35332,36529,40147
21/03/2020,France,35829,38894,33787,37033,38269,42049
22/03/2020,France,37674,40898,35336,38721,40021,43941
23/03/2020,France,39656,43049,36900,40419,41679,45767
24/03/2020,France,41676,45198,38403,42047,43387,47652
25/03/2020,France,43820,47514,39927,43712,45037,49469
26/03/2020,France,46037,49886,41419,45337,46730,51322
27/03/2020,France,48264,52292,42964,47023,48441,53182
28/03/2020,France,50570,54804,44512,48713,50091,55009
29/03/2020,France,52762,57173,46010,50376,51728,56836
30/03/2020,France,55238,59840,47485,52013,53365,58641
31/03/2020,France,57756,62570,48938,53631,54965,60407
01/04/2020,France,60319,65352,50490,55320,56559,62189
02/04/2020,France,62732,67965,52047,57021,58114,63904
03/04/2020,France,65258,70700,53601,58707,59779,65755
04/04/2020,France,67729,73363,55139,60375,61394,67510
05/04/2020,France,70153,76014,56655,62038,63004,69272
06/04/2020,France,72609,78684,58142,63687,64591,71003
07/04/2020,France,75019,81309,59680,65362,66177,72743
08/04/2020,France,77380,83864,61202,67026,67728,74459
09/04/2020,France,79674,86337,62685,68648,69334,76194
10/04/2020,France,82011,88872,64215,70315,70997,77998
11/04/2020,France,84225,91262,65667,71922,72558,79704
12/04/2020,France,86280,93480,67146,73545,74136,81438
13/04/2020,France,88427,95816,68585,75101,75654,83108
14/04/2020,France,90523,98099,69966,76620,77122,84724
15/04/2020,France,92577,100297,71458,78243,78630,86391
16/04/2020,France,94532,102413,72998,79910,80176,88083
17/04/2020,France,96606,104635,74585,81637,81660,89725
18/04/2020,France,98538,106706,76082,83251,83154,91373
19/04/2020,France,100326,108638,77593,84930,84746,93119
20/04/2020,France,102028,110467,79120,86607,86351,94881
21/04/2020,France,103725,112276,80553,88172,87931,96636
22/04/2020,France,105393,114062,82075,89831,89363,98214
23/04/2020,France,107022,115803,83619,91516,90823,99815
24/04/2020,France,108622,117503,85230,93259,92288,101419
25/04/2020,France,110174,119159,86724,94902,93730,102996
26/04/2020,France,111628,120706,88212,96522,95153,104553
27/04/2020,France,113049,122200,89636,98084,96586,106122
28/04/2020,France,114505,NA,91076,99673,98029,107705
29/04/2020,France,115842,NA,92496,101227,99472,109279
30/04/2020,France,117094,NA,93924,102785,100887,110841
01/05/2020,France,118217,NA,95440,104444,102240,112325
02/05/2020,France,NA,NA,96947,106086,103682,113907
03/05/2020,France,NA,NA,98388,107678,105020,115377
04/05/2020,France,NA,NA,99840,109265,106531,117018
05/05/2020,France,NA,NA,101229,110774,107996,118621
06/05/2020,France,NA,NA,102761,112457,109427,120200
07/05/2020,France,NA,NA,104248,114095,110896,121789
08/05/2020,France,NA,NA,105726,115692,112309,123341
09/05/2020,France,NA,NA,107190,117285,113726,124871
10/05/2020,France,NA,NA,108698,118953,115047,126306
11/05/2020,France,NA,NA,110082,120476,116492,127877
12/05/2020,France,NA,NA,111531,122044,117861,129389
13/05/2020,France,NA,NA,112948,123581,119144,130783
14/05/2020,France,NA,NA,114414,125187,120486,132258
15/05/2020,France,NA,NA,115894,126804,121842,133745
16/05/2020,France,NA,NA,117351,128417,123251,135285
17/05/2020,France,NA,NA,118841,130045,124684,136836
18/05/2020,France,NA,NA,120352,131676,126121,138411
19/05/2020,France,NA,NA,121780,133246,127495,139930
20/05/2020,France,NA,NA,123277,134891,128883,141463
