Date_evenement,Zone,Communes_a_envoi_dematerialise_Deces2020,Total_deces_2020,Communes_a_envoi_dematerialise_Deces2019,Total_deces_2019,Communes_a_envoi_dematerialise_Deces2018,Total_deces_2018
01/03/2020,France,1625,1777,1708,1872,1928,2136
02/03/2020,France,3263,3556,3467,3782,3933,4327
03/03/2020,France,4891,5317,5035,5530,5881,6455
04/03/2020,France,6572,7125,6747,7410,7768,8545
05/03/2020,France,8198,8896,8455,9278,9770,10746
06/03/2020,France,9897,10736,10178,11148,11732,12904
07/03/2020,France,11437,12423,11856,13007,13616,14959
08/03/2020,France,13007,14131,13512,14808,15543,17066
09/03/2020,France,14679,15952,15130,16581,17430,19115
10/03/2020,France,16333,17776,16651,18248,19325,21201
11/03/2020,France,18085,19673,18274,20014,21083,23143
12/03/2020,France,19729,21470,19861,21720,22938,25190
13/03/2020,France,21375,23249,21390,23411,24733,27170
14/03/2020,France,23009,25029,22948,25129,26483,29097
15/03/2020,France,24691,26873,24538,26875,28214,30995
16/03/2020,France,26508,28862,26098,28595,29961,32902
17/03/2020,France,28396,30905,27581,30230,31631,34742
18/03/2020,France,30232,32912,29193,31987,33236,36533
19/03/2020,France,32184,35030,30724,33671,34895,38356
20/03/2020,France,34073,37069,32227,35332,36528,40147
21/03/2020,France,35868,39002,33784,37033,38268,42049
22/03/2020,France,37713,41008,35333,38721,40020,43941
23/03/2020,France,39700,43171,36897,40419,41678,45767
24/03/2020,France,41728,45335,38400,42047,43386,47652
25/03/2020,France,43876,47663,39924,43712,45036,49469
26/03/2020,France,46095,50042,41416,45337,46728,51322
27/03/2020,France,48328,52456,42961,47023,48439,53182
28/03/2020,France,50637,54975,44509,48713,50089,55009
29/03/2020,France,52832,57355,46007,50376,51726,56836
30/03/2020,France,55312,60032,47482,52013,53363,58641
31/03/2020,France,57839,62775,48935,53631,54963,60407
01/04/2020,France,60408,65568,50487,55320,56557,62189
02/04/2020,France,62840,68208,52043,57021,58111,63904
03/04/2020,France,65378,70962,53597,58707,59776,65755
04/04/2020,France,67861,73643,55135,60375,61391,67510
05/04/2020,France,70302,76317,56651,62038,63001,69272
06/04/2020,France,72770,79009,58138,63687,64588,71003
07/04/2020,France,75191,81654,59676,65362,66174,72743
08/04/2020,France,77568,84236,61198,67026,67725,74459
09/04/2020,France,79879,86738,62681,68648,69331,76194
10/04/2020,France,82231,89304,64210,70315,70994,77998
11/04/2020,France,84459,91722,65662,71922,72555,79704
12/04/2020,France,86534,93974,67141,73545,74132,81438
13/04/2020,France,88694,96334,68580,75101,75650,83108
14/04/2020,France,90809,98648,69961,76620,77118,84724
15/04/2020,France,92880,100884,71453,78243,78626,86391
16/04/2020,France,94857,103052,72992,79910,80172,88083
17/04/2020,France,96964,105335,74579,81637,81656,89725
18/04/2020,France,98917,107456,76076,83251,83150,91373
19/04/2020,France,100730,109437,77587,84930,84742,93119
20/04/2020,France,102468,111327,79114,86607,86347,94881
21/04/2020,France,104208,113220,80547,88172,87927,96636
22/04/2020,France,105911,115086,82069,89831,89359,98214
23/04/2020,France,107608,116949,83613,91516,90819,99815
24/04/2020,France,109272,118772,85224,93259,92284,101419
25/04/2020,France,110902,120567,86718,94902,93726,102996
26/04/2020,France,112438,122252,88206,96522,95149,104553
27/04/2020,France,113945,123893,89629,98084,96582,106122
28/04/2020,France,115513,125598,91069,99673,98025,107705
29/04/2020,France,117032,127254,92489,101227,99468,109279
30/04/2020,France,118488,128833,93917,102785,100882,110841
01/05/2020,France,119860,130331,95433,104444,102235,112325
02/05/2020,France,121299,131890,96940,106086,103677,113907
03/05/2020,France,122705,133410,98381,107678,105015,115377
04/05/2020,France,124195,135034,99833,109265,106525,117018
05/05/2020,France,125643,136607,101222,110774,107990,118621
06/05/2020,France,127069,138142,102754,112457,109420,120200
07/05/2020,France,128466,139643,104241,114095,110889,121789
08/05/2020,France,129844,141135,105719,115692,112302,123341
09/05/2020,France,131171,142568,107183,117285,113719,124871
10/05/2020,France,132510,144017,108691,118953,115040,126306
11/05/2020,France,133811,145388,110075,120476,116485,127877
12/05/2020,France,135104,NA,111524,122044,117854,129389
13/05/2020,France,136412,NA,112941,123581,119137,130783
14/05/2020,France,137642,NA,114407,125187,120479,132258
15/05/2020,France,138897,NA,115887,126805,121835,133745
16/05/2020,France,NA,NA,117344,128418,123244,135285
17/05/2020,France,NA,NA,118834,130046,124677,136836
18/05/2020,France,NA,NA,120345,131677,126114,138411
19/05/2020,France,NA,NA,121773,133247,127488,139930
20/05/2020,France,NA,NA,123270,134892,128876,141463
21/05/2020,France,NA,NA,124717,136475,130290,143016
22/05/2020,France,NA,NA,126150,138031,131685,144555
23/05/2020,France,NA,NA,127661,139689,133171,146163
24/05/2020,France,NA,NA,129190,141337,134642,147752
25/05/2020,France,NA,NA,130580,142844,136059,149316
26/05/2020,France,NA,NA,131916,144307,137511,150918
27/05/2020,France,NA,NA,133325,145851,138951,152488
28/05/2020,France,NA,NA,134748,147385,140410,154090
29/05/2020,France,NA,NA,136122,148877,141855,155663
30/05/2020,France,NA,NA,137453,150329,143272,157215
31/05/2020,France,NA,NA,138877,151885,144634,158700
01/03/2020,Dept_01,11,15,12,15,10,13
02/03/2020,Dept_01,18,23,26,34,25,29
03/03/2020,Dept_01,30,37,37,46,38,48
04/03/2020,Dept_01,38,47,46,56,51,62
05/03/2020,Dept_01,51,62,58,72,69,83
06/03/2020,Dept_01,64,76,64,82,82,97
07/03/2020,Dept_01,77,93,72,91,98,115
08/03/2020,Dept_01,88,104,82,103,109,128
09/03/2020,Dept_01,100,116,89,112,118,141
10/03/2020,Dept_01,113,131,101,124,129,155
11/03/2020,Dept_01,124,143,114,139,134,161
12/03/2020,Dept_01,130,151,118,144,149,178
13/03/2020,Dept_01,146,169,127,155,161,192
14/03/2020,Dept_01,158,182,142,171,170,203
15/03/2020,Dept_01,176,202,153,183,182,216
16/03/2020,Dept_01,184,211,164,195,190,225
17/03/2020,Dept_01,202,229,175,207,201,237
18/03/2020,Dept_01,216,247,182,217,212,255
19/03/2020,Dept_01,233,266,188,228,225,272
20/03/2020,Dept_01,239,274,199,241,236,283
21/03/2020,Dept_01,251,293,209,252,252,303
22/03/2020,Dept_01,260,302,217,264,259,313
23/03/2020,Dept_01,270,316,230,278,276,331
24/03/2020,Dept_01,279,329,244,293,289,345
25/03/2020,Dept_01,288,342,255,306,298,356
26/03/2020,Dept_01,302,359,266,319,308,366
27/03/2020,Dept_01,311,377,275,331,321,382
28/03/2020,Dept_01,321,390,289,352,330,394
29/03/2020,Dept_01,331,408,299,363,344,412
30/03/2020,Dept_01,346,430,313,380,361,429
31/03/2020,Dept_01,364,453,318,388,373,443
01/04/2020,Dept_01,375,471,329,400,382,455
02/04/2020,Dept_01,385,488,341,414,398,471
03/04/2020,Dept_01,401,505,352,427,407,481
04/04/2020,Dept_01,416,524,367,445,416,490
05/04/2020,Dept_01,427,539,375,454,423,499
06/04/2020,Dept_01,439,557,389,470,437,515
07/04/2020,Dept_01,465,586,402,485,456,534
08/04/2020,Dept_01,481,604,406,492,469,548
09/04/2020,Dept_01,498,630,418,504,481,561
10/04/2020,Dept_01,504,638,428,517,490,575
11/04/2020,Dept_01,513,649,431,522,500,588
12/04/2020,Dept_01,525,664,442,533,506,595
